season,week,game_id,ticker,bet,side,strike,period,stat,subject_name,price,cost,p_side,edge,tier,snapshot_utc
2026,4,401858239,KXNCAAF2QSPREAD-26SEP26DELUVA-UVA7,Virginia doesn't win 2nd quarter by 6.5+,no,6.5,Q2,margin,Virginia,0.48,0.5,0.5928350454800284,0.09283504548002841,best,2026-09-24 03:13:52.579551+00:00
2026,4,401864576,KXNCAAF2QSPREAD-26SEP26USAUK-UK7,Kentucky doesn't win 2nd quarter by 6.5+,no,6.5,Q2,margin,Kentucky,0.48,0.5,0.5408526665850174,0.040852666585017405,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858242,KXNCAAF3QTOTAL-26SEP26VTBC-8,3rd quarter total over 7.5,yes,7.5,Q3,total,,0.55,0.5700000000000001,0.6723672181093874,0.10236721810938731,best,2026-09-24 03:13:52.579551+00:00
2026,4,401856806,KXNCAAF2QTOTAL-26SEP26HOUGASO-17,2nd quarter total under 16.5,no,16.5,Q2,total,,0.49,0.51,0.5560677458831502,0.04606774588315021,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858238,KXNCAAF2HTOTAL-26SEP26CMUMIA-24,2nd half total under 23.5,no,23.5,2H,total,,0.49,0.51,0.558347080205009,0.048347080205008997,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858234,KXNCAAF3QTOTAL-26SEP25CLEMCAL-11,3rd quarter total over 10.5,yes,10.5,Q3,total,,0.48,0.5,0.5721539193797298,0.07215391937972981,best,2026-09-24 03:13:52.579551+00:00
2026,4,401858238,KXNCAAF2HSPREAD-26SEP26CMUMIA-MIA18,Miami wins 2nd half by 17.5+,yes,17.5,2H,margin,Miami,0.48,0.5,0.5772388107570154,0.07723881075701544,best,2026-09-24 03:13:52.579551+00:00
2026,4,401858463,KXNCAAF3QTOTAL-26SEP26IOWAMICH-8,3rd quarter total over 7.5,yes,7.5,Q3,total,,0.45,0.47000000000000003,0.5287232179109548,0.05872321791095475,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858467,KXNCAAF1QTOTAL-26SEP26NDPUR-14,1st quarter total under 13.5,no,13.5,Q1,total,,0.45,0.47000000000000003,0.5660476207048014,0.09604762070480138,best,2026-09-24 03:13:52.579551+00:00
2026,4,401856816,KXNCAAF3QTOTAL-26SEP26UTAHISU-8,3rd quarter total over 7.5,yes,7.5,Q3,total,,0.6,0.62,0.6709145140578096,0.05091451405780956,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856804,KXNCAAF3QTOTAL-26SEP26ARIZWSU-8,3rd quarter total over 7.5,yes,7.5,Q3,total,,0.6,0.62,0.6715358524902795,0.05153585249027948,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856700,KXNCAAF4QTOTAL-26SEP26OKLAUGA-8,4th quarter total over 7.5,yes,7.5,Q4,total,,0.64,0.66,0.7111964383463694,0.05119643834636933,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856881,KXNCAAF1QSPREAD-26SEP26OKSTWVU-WVU3,West Virginia wins 1st quarter by 2.5+,yes,2.5,Q1,margin,West Virginia,0.38,0.4,0.4545981290889861,0.05459812908898609,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858466,KXNCAAF4QSPREAD-26SEP26WISPSU-PSU7,Penn State doesn't win 4th quarter by 6.5+,no,6.5,Q4,margin,Penn State,0.72,0.74,0.7992004864545232,0.05920048645452325,light,2026-09-24 03:13:52.579551+00:00
2026,4,401856881,KXNCAAF4QSPREAD-26SEP26OKSTWVU-WVU7,West Virginia doesn't win 4th quarter by 6.5+,no,6.5,Q4,margin,West Virginia,0.79,0.81,0.855103987449964,0.04510398744996391,light,2026-09-24 03:13:52.579551+00:00
2026,4,401858465,KXNCAAF4QSPREAD-26SEP26ILLOSU-ILL3,Illinois wins 4th quarter by 2.5+,yes,2.5,Q4,margin,Illinois,0.21,0.22999999999999998,0.3085216267938198,0.0785216267938198,best,2026-09-24 03:13:52.579551+00:00
